-'s	của
airport	cảng hàng không
airspace	không phận
aitch	hắt
aitch	hờ
Akasagarbha	Hư Không Tạng
Akrotiri and Dhekelia	Akrotiri và Dhekelia
Akṣayamati	Vô Tận Ý Bồ Tát
al-Qaeda	Al-Qaeda
Alabama	Alabama
Alabama	A-la-ba-ma
alarm clock	đồng hồ reo
alarm clock	đồng hồ báo thức
alarm	báo thức
alarm	máy báo thức
alarm	sự báo động
Alaska pollock	cá minh thái Alaska
Alaska	Alaska
Alaska	A-lát-xca
Albania	An-ba-ni
Albanian	An-ba-ni
albedo	suất phản chiếu
Albert	An-be
Alberta	Alberta
album	an bom
album	an bum
albumen	lòng trắng
alchemist	nhà giả kim
alchemy	thuật giả kim
alcohol	rượu
alcohol	tửu
alcohol	rượu cồn
alcoholic	người nghiện rượu
alcoholism	chứng nghiện rượu
Aldebaran	Aldebaran
aldehyde	an-đê-hít
Alexander	A Lịch Sơn
Alexander	Alexanđê
Alfonso	Anphongsô
Alfonso	Anphonsô
Alfonso	An Phong
alga	tảo
algal bloom	nước nở hoa
algebra	đại số học
algebra	đại số
Algeria	An-giê-ri
Algerian	An-giê-ri
Algiers	An-giê
algorithm	thuật toán
alien	người nước ngoài
alien	người ngoại quốc
alien	người ngoài hành tinh
alight	xuống xe
aligot	aligot
alike	na ná
alike	giông giống
alike	tương tự
alike	đều
alive	sống
alkali metal	kim loại kiềm
alkali	kiềm
alkaline earth metal	kim loại kiềm thổ
alkane	ankan
alkanol	ankanol
alkene	anken
alkyne	ankin
all day	cả ngày
all day	suốt ngày
all in	trọn gói
all over	khắp
all rights reserved	giữ toàn quyền
all rights reserved	mọi quyền được bảo lưu
all roads lead to Rome	mọi con đường đều dẫn tới thành Rô-ma
All Saints' Day	lễ Các Thánh
All Saints' Day	ngày lễ Các Thánh
All Souls' Day	lễ Các Đẳng
all the time	hoài
all	mọi
all-inclusive	trọn gói
all-purpose	vạn năng
all-purpose	nhiều mục đích
all-purpose	đa năng
Allah	A-la
Allah	thánh A-la
Allah	đức A-la
allegation	cáo buộc
allege	cáo buộc
allergy	dị ứng
alley oop	a-lê-hấp
alley	hẻm
alliance	đồng minh
Allies	Đồng Minh
alligator snapping turtle	rùa cá sấu
alligator	cá sấu
allophone	tha âm vị
allophone	tha âm
allotropy	thù hình
allow	cho phép
allow	cấp phép
allow	cho
alloy	hợp kim
alluvium	bồi tích
alluvium	trầm tích phù sa
alluvium	trầm tích sông
ally	nước đồng minh
almanac	lịch thư
almighty	toàn năng
almond	hạnh nhân
almond	hạnh đào
almost	gần
almost	gần như
almost	hầu như
alms	của bố thí
alms	chẩn
aloe	nha đam
aloe	lô hội
alone	một mình
alone	chỉ
alone	thôi
Aloysius	Aloisiô
alpaca	alpaca
alpaca	lạc đà alpaca
alpaca	lạc đà cừu
Alpha Centauri	Nam Môn Nhị
Alpha Centauri	Alpha Centauri
alpha wave	sóng alpha
alphabet	bảng chữ cái
alphabetical order	thứ tự bảng chữ cái
alphabetically	theo thứ tự bảng chữ cái
already	rồi
already	đã
Alsace	Alsace
also known as	còn gọi là
also known as	hay còn gọi là
also	cũng
alt key	phím Alt
Altai	Altay
Altair	Sao Ngưu Lang
altar	bàn thờ
alternate angles	góc so le
alternating current	điện xoay chiều
alternator	máy dao điện
although	nhưng
although	nhưng mà
although	dưng cơ
although	dưng cơ mà
although	dù
although	mặc dù
although	dầu
alto	người hát giọng nữ trầm
alto	đàn antô
alto	kèn antô
altruism	chủ nghĩa vị tha
aluminium	nhôm
Alvin	Alvin
always	luôn luôn
always	luôn
always	mãi mãi
Alzheimer's disease	bệnh Alzheimer
amalgam	hỗn hống
amaranth	dền
amaranth	giền
Amaterasu	Amaterasu
Amaterasu	Thiên Chiếu
amateur	tài tử
amateur	nghiệp dư
amazing	tuyệt vời
amazingly	đáng kinh ngạc
Amazon	Sông Amazon
Amazonas	Amazonas
ambarella	cóc Tahiti
ambassador	đại sứ
amber	hổ phách
ambergris	long diên hương
ambiguity	sự tối nghĩa
ambiguity	sự mơ hồ
ambiguous	tối nghĩa
ambitious	có hoài bão
ambitious	có tham vọng
ambo	giảng đài
Ambrose	Ambrôsiô
ambulance	xe cứu thương
ambulance	xe cấp cứu
amen	a men
amendment	tu chính án
amenity	sự dễ chịu
amenity	tiện nghi
American Civil War	Nội chiến Hoa Kỳ
American Dream	giấc mơ Mĩ
American English	tiếng Mỹ
American football	bóng bầu dục
American Revolutionary War	Chiến tranh Cách mạng Mĩ
American Revolutionary War	Chiến tranh giành độc lập Mĩ
American Samoa	Samoa thuộc Mỹ
American	châu Mỹ
American	Mỹ châu
American	Mỹ
American	Hoa Kỳ
American	tiếng Mỹ
American	người Mỹ
American	người Hoa Kỳ
Americanisation	Mỹ hóa
Americanize	Mỹ hóa
Americanize	Mỹ hoá
Americanize	Mĩ hoá
Americas	Châu Mỹ
Americas	Mỹ Lợi Gia
Americas	Mỹ
americium	Amerixi
americium	Ameriđi
Amitābha	A-di-đà Phật
Amman	Am-man
ammeter	điện lưu kế
ammonium	amoni
ammunition	đạn dược
amnesty	ân xá
amnion	màng ối
amniote	động vật có màng ối
amniotic fluid	nước ối
amoeba	amip
amoeba	a míp
amoeba	a-míp
amoebiasis	nhiễm amíp
among	trong số
amongst	giữa
amongst	trong số
amount	số lượng
amount	lượng
ampere	ampe
ampersand	ký hiệu "và"
amphibian	lưỡng cư
amphitheatre	Hý trường
amphoteric	lưỡng tính
amplifier	bộ khuếch đại
amplifier	máy khuếch đại
amplifier	thiết bị khuếch đại
amplifier	khuếch đại điện tử
amplify	khuếch đại
amplify	phóng đại
amplitude	biên độ
ampoule	ống thuốc
ampoule	ămpun
amrita	cam lộ
Amsterdam	Am Tước Đàm
Amsterdam	Am-xtéc-đam
amulet	bùa
Amur	sông Amur
Amur	Hắc Long Giang
amusement park	công viên giải trí
amusement	hài hước
An Dương	An Dương
an eye for an eye, a tooth for a tooth	ân đền oán trả
an eye for an eye, a tooth for a tooth	ăn miếng trả miếng
An Giang	An Giang
An Lão	An Lão
anaerobe	sinh vật kỵ khí
anaerobe	sinh vật yếm khí
anaerobic	kị khí
anagram	phép đảo chữ
anagram	thuật đảo chữ
anal sex	tình dục hậu môn
anal sex	giao hợp hậu môn
analects	tuyển tập
Analects	Luận Ngữ
analog	tương tự
analysis	phân tích
analyst	người phân tích
analyze	phân tích
Ananda	A-nan-đà
Anantacaritra	Vô Biên Bồ Tát
anarchism	chủ nghĩa vô chính phủ
anarchy	tình trạng vô chính phủ
Anastasius	Anastasiô
anathema	rút phép thông công
anathema	a-na-them
anatman	vô ngã
Anatolia	Tiểu Á
anatomy	giải phẫu học
anatta	vô ngã
ancestor	tổ tiên
anchor	neo
anchor	mỏ neo
anchorman	dẫn chương trình truyền hình
anchovy	cá cơm
anchovy	cá trổng
Ancient Egypt	Ai Cập cổ đại
Ancient Greece	Hi Lạp cổ đại
Ancient Greek	tiếng Hy Lạp cổ đại
Ancient Rome	La Mã cổ đại
ancient	cổ đại
ancient	xưa
ancient	cổ
and so forth	vân vân
and so forth	v.v.
and	và
and	với
Andaman Islands	Quần đảo Andaman
Andaman Sea	biến Andaman
Andorra la Vella	An-đô-ra La Vê-la
Andorra	An-đô-ra
Andrew	Anrê
android	người máy
Andromeda Galaxy	thiên hà Tiên Nữ
Andromeda Galaxy	tinh vân Tiên Nữ
anecdote	giai thoại
anemia	thiếu máu
anemometer	máy đo gió
anesthesia	gây tê
anesthetization	gây mê
anesthetization	gây tê
angel of death	tử thần
angel of death	thần chết
angel	thiên thần
angel	thiên sứ
Angela	An-giê-la
anger	mối giận
anger	sự tức giận
anger	nổi giận
anger	làm ai tức giận
angiosperm	cây hạt kín
angle	gốc
Anglicanism	Anh giáo
anglicisation	Anh hóa
anglicise	Anh hóa
anglicise	Anh hoá
Anglo-	Anh
Anglo-American	Anh Mỹ
Anglo-Egyptian Sudan	Sudan thuộc Anh-Ai Cập
Anglo-Saxon	Anh-Sắc
Anglo-Saxon	người Anh-Sắc
Angola	Ăng-gô-la
angry	giận
angry	tức
Anhui	An Huy
anicca	vô thường
anilingus	cách liếm đít
animal kingdom	thế giới động vật
animal kingdom	giới động vật
animal	thú vật
animal	động vật
animation	hoạt hình
animation	hoạt họa
anime	hoạt hình
anime	hoạt họa
Ankara	Ăng-ca-ra
ankle	mắt cá chân
ankle	mắt cá
ankle	cổ chân
Annam	An Nam
Annam	Trung Kì
annatto	hạt điều màu
annexation	phụ vào
anniversary	ngày kỷ niệm
Anno Domini	Công Nguyên
announcement	thông báo
annoy	làm phiền
annoy	quấy rầy
annoying	phiền
annual	niên san
annuity	niên kim
annuity	niên khoản
annulus	hình vành khăn
anode	dương cực
anodontia	thiếu răng bẩm sinh
anomaly	sự bất thường
anonymous	vô danh
anonymous	ẩn danh
anonymous	nặc danh
anonymous	giấu tên
another	nữa
Anshan	An Sơn
answer	trả lời
answer	câu trả lời
answer	đáp lời
answering machine	máy trả lời
ant	kiến
Antananarivo	An-ta-na-na-ri-vô
Antarctic Circle	Vòng Nam Cực
Antarctic Peninsula	Bán đảo Nam Cực
Antarctic	châu Nam Cực
Antarctic	Nam Cực châu
Antarctica	Châu Nam Cực
Antares	Antares
antasthmatic	chữa bệnh suyễn
anteater	thú ăn kiến
antebellum	tiền chiến
antecedent	tiền bối
antelope	linh dương
antenna	xúc giác
anthem	quốc ca
anthill	tổ kiến
anthology	văn tuyển
Anthony	Antôn
Anthony	An Tôn
Anthony	Antôniô
anthrax	bệnh than
anthropocentrism	chủ nghĩa duy con người
anthropology	nhân loại học
anthropomorphism	nhân hóa
anti	chống
anti-	chống
anti-globalism	phong trào chống toàn cầu hóa
anti-intellectualism	chủ nghĩa chống trí thức
anti-Semitism	chủ nghĩa bài Do Thái
anti-villain	chống phản diện
anti-war	phản chiến
antibiotic	kháng sinh
antibiotic	trụ sinh
antibody	kháng thể
antichrist	kẻ chống Giê-xu
anticline	nếp uốn lồi
anticline	nếp lồi
anticlockwise	ngược chiều kim đồng hồ
anticlockwise	theo chiều ngược kim đồng hồ
anticyclone	xoáy nghịch
antidote	chất giải độc
antifascism	chủ nghĩa chống phát xít
antifascist	chống phát xít
antifascist	người chống phát xít
antigen	kháng nguyên
antigenocide	chống diệt chủng
Antigua and Barbuda	An-ti-goa và Bác-bu-đa
Antigua	An-ti-goa
antihero	phản anh hùng
antimatter	phản vật chất
antimony	antimon
antiplatelet	kháng tiểu cầu
antiplatelet	thuốc kháng tiểu cầu
antiquated	cũ
antisecular	phản thế tục
antisepsis	sự khử trùng
antisocial personality disorder	rối loạn nhân cách chống xã hội
antitank	chống tăng
antivenom	thuốc kháng nọc độc
antivenom	chất kháng nọc độc
antiviral	kháng vi-rút
antiviral	kháng siêu vi
antiviral	kháng siêu vi khuẩn
antiviral	kháng siêu vi trùng
antiviral	thuốc kháng vi-rút
antiviral	thuốc kháng siêu vi
antiviral	thuốc kháng siêu vi khuẩn
antiviral	thuốc kháng siêu vi trùng
antlion	cúc
antlion	kiến sư tử
antonym	từ trái nghĩa
antonymous	trái nghĩa
anus	hậu môn
anus	lỗ đít
anvil	đe
anxiety	sự lo lắng
anxiety	lo âu
anxious	nao
anyone	ai
anyone	người ta
anything else	còn gì nữa
anything else	rồi
anyway	bất chấp
ao dai	áo dài
aorist	thể bất định
aorta	động mạch chủ
aorta	đại động mạch
Apalala	Long Vương Ưu Bát La
apart from	ngoại trừ
apart from	trừ
apartment	căn hộ
apathetic	vô cảm
apatite	apatit
ape	vượn
ape	khỉ không đuôi
APEC	Diễn đàn Hợp tác Kinh tế châu Á-Thái Bình Dương
APEC	APEC
aphasia	á khẩu
aphelion	điểm viễn nhật
aphid	rệp vừng
Apia	A-pi-a
apogee	điểm viễn địa
apologize	xin lỗi
apology	xin lỗi
aposematism	tín hiệu xua đuổi
apostrophe	dấu lược
app	ứng dụng
Appalachia	Appalachia
apparatus	bộ máy
appealable	cặc
appear	xuất hiện
appearance	bề ngoài
appeasement	chính sách nhân nhượng
appendicitis	viêm ruột thừa
appetite	sự ngon miệng
appetite	sự thèm ăn
applaud	vỗ tay
applause	vỗ tay
apple juice	nước táo
apple tree	cây táo
apple	táo tây
apple	bôm
apple	táo
apple	bom
apple	gỗ táo
application software	phần mềm ứng dụng
application	ứng dụng
application	đơn xin
application	áp dụng
apply	áp dụng
apply	ứng dụng
apply	ứng cử
apprentice	người học nghề
approach	lại
approach	lại gần
approach	đến
approve	phê duyệt
approximate	xấp xỉ
approximate	xêm xêm
approximately	khoảng
approximately	chừng
apricot	vàng mơ
apricot	mơ tây
apricot	quả mơ
apricot	cây mơ
April Fools' Day	ngày cá tháng tư
April	tháng tư
apron	tạp dề
Aptian	tầng Apt
aqua regia	nước cường toan
aqua regia	cường thuỷ
aquamarine	ngọc xanh biển
aquaponics	aquaponics
aquarium	bể nuôi
aquatic	thuỷ sinh
aquatic	thuỷ cư
aquifer	tầng ngậm nước
aquifer	tầng chứa nước
ar	e-rờ
ar	rờ
Arab Republic of Egypt	Cộng hoà Ả Rập Ai Cập
Arab Spring	Mùa xuân Ả Rập
Arab World	thế giới Ả Rập
Arab	Á rập
Arabia	Bán đảo Ả Rập
Arabian Peninsula	bán đảo Ả Rập
Arabian Sea	biển Ả Rập
Arabic	A-rập
Arabic	tiếng A-rập
Arabic	tiếng Ả Rập
Arabize	Ả Rập hóa
Arabize	Ả Rập hoá
arachidonic acid	axit arachidonic
Arafura Sea	biển Arafura
Aral Sea	biển Aral
Arbil	Erbil
arc	vòng cung
arcade game	trò chơi điện tử
arcade	cửa tò vò
arcade	giải trí
arch	vòm
arch-	tổng
archaeology	khảo cổ học
archaeon	cổ khuẩn
archaeon	vi khuẩn cổ
archaic	cổ hủ
archaism	từ cổ
archaism	cổ ngữ
archbasilica	tổng lãnh vương cung thánh đường
archbishop	tổng giám mục
archdiocese	tổng giáo phận
archer	xạ thủ
archerfish	cá mang rổ
archery	bắn cung
archetype	nguyên mẫu
archetype	nguyên hình
archipelago	quần đảo
architect	kiến trúc sư
architecture	kiến trúc
archive	tài liệu lưu trữ
archivist	chuyên viên lưu trữ
Arctic Circle	vòng Cực Bắc
Arctic Circle	vòng Bắc Cực
Arctic Ocean	Bắc Băng Dương
Arctic	vùng Bắc Cực
Arctic	phương bắc
are you married	bạn đã kết hôn chưa?
are you married	bạn đã lập gia đình chưa?
area	miền
area	vùng
arena	sân khấu
arena	vũ đài
areola	quầng đỏ
argent	bạc
Argentina	Ác-hen-ti-na
Argentina	Á Căn Đình
Argentine Republic	Cộng hòa Argentina
argon	agon
argue	tranh luận
argue	cãi
argument	lý lẽ
argument	lí lẽ
argument	đối số
argument	tranh luận
arhat	A-la-hán
arhat	la hán
Ariana	A-ri-a-na
aristocracy	chế độ quý tộc
Aristotle	A-ri-xtốt
arithmetic	số học
Arizona	Arizona
Arizona	A-ri-xô-na
ark	tàu
Arkansas	Arkansas
Arkansas	A-can-xò
Arkhangelsk	Arkhangelsk
arm wrestling	vật tay
arm wrestling	gồng tay
arm	cánh tay
arm	tay
arm	vũ khí
arm	vũ trang
armadillo	tatu
armchair	ghế bành
armed forces	quân đội
armed forces	lực lượng vũ trang
Armenia	Ác-mê-ni-a
Armenian	Ác-mê-ni-a
Armenian	người Ác-mê-ni-a
armistice	đình chiến
armistice	hưu chiến
armor	áo giáp
armoured fighting vehicle	Phương tiện chiến đấu bọc thép
armoured train	xe lửa bọc sắt
armoured train	chiếc xe lửa bọc thép
armoured truck	xe chở tiền của
armpit	nách
arms race	chạy đua vũ trang
army	quân đội
army	lục quân
aromatic	thơm
arrange	sắp xếp
arrange	tổ chức
arranged marriage	hôn nhân sắp đặt
array	mảng
arrest	bắt
arrest	bắt giữ
arrival	đến
arrive	đến
arrogant	kiêu
arrogant	kiêu ngạo
arrogant	kiêu căng
arrogant	ngạo mạn
arrogant	kênh kiệu
arrogant	ngạo nghễ
arrow	mũi tên
arrow	tên
