&	u.
abandonware	Abandonware
abase	erniedrigen
abasement	Erniedrigung
abash	beschämen
abashed	beschämt
abasia	Abasie
abatable	abschaffbar
abate	nachlassen
abate	beenden
abate	absehen von
abate	vermindern
abatement	Abnahme
abatis	Verhau
abaton	Abaton
abattoir	Schlachthaus
abaya	Abaya
Abbas	Abbas
Abbasid	abbasidisch
Abbasid	Abbaside
abbess	Äbtissin
abbey	Klosterkirche
abbey	Abtei
abbot	Abt
abbotship	Abtschaft
Abbott	Abt
abbreviate	kürzen
abbreviated	abgekürzt
abbreviation	Abkürzung
ABC	Abc-Buch
Abdera	Abdera
Abderite	Abderit
abderitic	abderitisch
abdicate	ausstoßen
abdicate	verweigern
abdicate	abdanken
abdication	Abdankung
abdicative	abdikativ
abdomen	Bauch
abdominal	abdominal
abdominocentesis	Bauchpunktion
abdominoplasty	Bauchdeckenstraffung
abduct	entführen
abduct	abspreizen
abductee	Entführungsopfer
abduction	Entführung
abduction	Abduktion
abductor	Entführer
abductor	Abduktor
Abdul	Abdul
Abdullah	Abdulla
Abdullatif	Abdellatif
abeam	Querab
Abecedarian	Abecedarier
abed	zu Bett
Abel	Abel
abelian	abelsch
Abelian	Abelianer
abelianization	Abelisierung
abelmosk	Abelmoschus
Abenaki	abenakisch
Abenaki	Abenaki
abend	Abbruch
Abenomics	Abenomics
aberrance	Abweichung
aberrant	aberrante
aberrant	Abweichler
aberration	Aberration
aberration	Abweichung
abessive	Abessiv
abet	ermutigen
abet	stützen
abetment	Beihilfe
abettor	Mittäter
abettor	Anstifter
abeyance	Schwebezustand
Abha	Abha
abhor	verabscheuen
abhorrence	Abscheu
abhorrence	Ekel
abhorrent	unvereinbar
abhorrent	abscheulich
abhorrent	abgestoßen
abhorrent	unverträglich
abide	ausstehen
abide	weilen
abide	aushalten
abide	zahlen
abide	verbleiben
abide	harren
Abidjan	Abidjan
abies	Fichtengerbstoff
abietate	Abietat
abigail	Zofe
Abigail	Abigail
abigeat	Viehdieb
ability	Fähigkeit
abiogenesis	Abiogenesis
abirritant	reizmindernd
Abitur	Abitur
Abiturient	Abiturient
abjad	Abdschad
abject	elend
abjudication	Abjudikation
abjure	abschwören
Abkhaz	abchasisch
Abkhaz	Abchase
Abkhaz	Abchasisch
Abkhazia	Abchasien
ablative	ablativisch
ablaut	Ablaut
ablaze	lodernd
able	kompetent
able	imstande
able	fähig
ableism	Ableismus
ableist	ableistisch
ablution	Waschung
ablutophobia	Ablutophobie
ably	fähig
abnegate	entsagen
abnormal	unnormal
abnormal	anormal
abnormality	Abnormalität
abnormality	Abweichung
abnormally	unnormal
aboard	an Bord
abode	Verweilen
abode	Bleibe
abode	Aufenthalt
abolish	vernichten
abolish	abschaffen
abolishment	Abschaffung
abolition	Abschaffung (der Sklaverei / des Sklavenhandels)
abolition	Abschaffung
abolitionism	Abolitionismus
abolitionist	abolitionistisch
abomasum	Labmagen
abominable	riesig
abominable	verabscheuungswürdig
abominate	verabscheuen
abomination	Gräuel
abomination	Abscheu
abomination	Abscheulichkeit
abonnement	Abonnement
Aboriginal	indigene
aboriginal	eingeboren
Aboriginal	Eingeborener
aborigine	Aborigine
Aborigine	Aborigine
abort	Abbruch
abort	Abort
abort	abbrechen
abortion	Abtreibung
abortion	Fehlgeburt
abortionist	Abtreibungsbefürworter
abortive	abtreibend
abortive	erfolglos
abortive	unvollkommen
abortive	abbrechen
abortive	abgetrieben
abortive	Erfolglosigkeit
abortive	Abtreibungsmittel
abortive	Abort
abound	wimmeln von
abound	in
abounding	reichlich
about	etwa
about	über
about	um... (herum)
about	bereit zu
about-face	Kehrtwende
about-face	Kehrtwende machen
above	früher
above	ranghöher
above	höher
above	oben
above	über
above-board	einwandfrei
above-mentioned	obengenannt
above-said	vorstehend
abovesaid	oben erwähnt
abracadabra	abrakadabra
abracadabra	Simsalabim
abrade	abschleifen
Abraham	Abraham
Abrahamic	abrahamitisch
abrasion	Abrasion
abrasive	abrasiv
abrasive	schroff
abrasive	Schleifmittel
abreact	abreagieren
abreaction	Abreaktion
abreast	auf dem Laufenden
abreast	auf gleicher Höhe
abreast	beieinander
abreast	Schritt
abridge	verkürzen
abridged	gekürzt
abridgment	Auszug
abroach	angestochen
abroad	Ausland
abrogate	abschaffen
abrogate	zunichte machen
abrogation	Abschaffung
abrupt	abgestumpft
abrupt	einsiblig
abrupt	abrupt
abruptly	abrupt
abruptly	abgerissen
Abruzzian	abruzzesisch
abs	Bauchmuskeln
Absalom	Absalom
abscess	Abszess
abscissa	Abszisse
abscissa	Rechtsachse
abscissin	Abscisinsäure
abscond	davonmachen
abscond	verstecken
abscond	zurückziehen
absconder	Ausreißer
abseil	Abseilen
abseil	abseilen
abseiler	Abseiler
absence	Abwesenheit
absence	Absence
absent	abwesend
absent	fehlen
absent-minded	zerstreut
absent-mindedly	gedankenverloren
absent-mindedness	Zerstreutheit
absentee	Abwesender
absinthe	Wermut
absinthe	Absinth
absolute	rein
absolute	absolut
absolutely	absolut
absolutely	allerdings
absoluteness	Absolutheit
absolution	Absolution
absolutism	Absolutismus
absolutist	absolutistisch
absolutist	Absolutist
absolutistic	absolutistisch
absolve	freisprechen
absolve	vollbringen
absolve	bestehen
absolve	entbinden
absorb	absorbieren
absorb	aufnehmen
absorb	konsumieren
absorb	aushalten
absorb	(ganz) in Anspruch nehmen
absorb	aufsaugen
absorbable	absorbierbar
absorbance	Absorbanz
absorbed	vertieft
absorbency	Absorbierfähigkeit
absorbent	saugfähig
absorber	Absorber
absorbing	fesselnd
absorption	Absorption
absorption	Vertiefung
absquatulate	fliehen
abstain	abhalten
abstain	enthalten
abstain	verzichten
abstemious	enthaltsam
